var12,drop,year,enpv,enps,eneth,ml,upper,enpres,proximit,lnml,lmleneth,smdp,smdpeth,multi,enpvlml,enpvUpp,multiV,enpvQ,enpvmult,enpvsmdp,proxpres,drop2
"ARGENTINA",0,1985,3.3738,2.3714,1.3423,9,0,2.513,.55,2.197225,2.949335,0,0,0,7.412996,0,1,2,0,0,1.38215,0
"AUSTRALIA",0,1984,2.7911,2.3838,1.106,1,0,0,0,0,0,1,1.106,0,0,0,0,1,0,2.7911,0,0
"AUSTRIA",0,1986,2.7166,2.6333,1.0121,30,.11475,2.272,.8,3.401197,3.442352,0,0,1,9.239693,.3117298,0,1,2.7166,0,1.8176,0
"BAHAMAS",0,1987,2.1105,1.9635,1.3423,1,0,0,0,0,0,1,1.3423,0,0,0,0,0,0,2.1105,0,0
"BARBADOS",0,1986,1.9333,1.2459,1.4988,1,0,0,0,0,0,1,1.4988,0,0,0,0,0,0,1.9333,0,0
"BELGIUM",0,1985,8.1284,7.0118,2.3485,8,.40094,0,0,2.079442,4.883568,0,0,1,16.90253,3.259001,1,3,8.1284,0,0,1
"BELIZE",0,1984,2.0554,1.6,3.4625,1,0,0,0,0,0,1,3.4625,0,0,0,0,0,0,2.0554,0,0
"BOLIVIA",1,1985,4.5787,4.3167,3.7736,17.5,0,4.5787,1,2.862201,10.8008,0,0,1,13.10516,0,1,3,4.5787,0,4.5787,0
"BOTSWANA",0,1984,1.9624,1.347,1.106,1,0,0,0,0,0,1,1.106,0,0,0,0,0,0,1.9624,0,0
"BRAZIL",0,1990,9.68,8.69,2.2195,30,0,5.689,.63,3.401197,7.548958,0,0,1,32.92359,0,1,3,9.68,0,3.58407,1
"CANADA",0,1984,2.7477,1.6923,3.4922,1,0,0,0,0,0,1,3.4922,0,0,0,0,1,0,2.7477,0,0
"COLOMBIA",0,1986,2.6789,2.4501,2.5088,8,0,2.132,.93,2.079442,5.216903,0,0,0,5.570616,0,0,1,0,0,1.98276,0
"COSTA Rica",0,1986,2.4892,2.2086,1.0844,10,0,2.069,1,2.302585,2.496923,0,0,0,5.731595,0,0,1,0,0,2.069,0
"CYPRUS",0,1985,3.6169,3.5716,1.5567,12,0,0,0,2.484907,3.868254,0,0,1,8.987659,0,1,2,3.6169,0,0,0
"CZECH Rep",0,1990,3.1031,2.0357,1.1208,24,.0495,0,0,3.178054,3.561963,0,0,0,9.861819,.1536034,0,1,0,0,0,0
"DENMARK",0,1984,5.2453,5.0383,1.0202,11,0,0,0,2.397895,2.446333,0,0,1,12.57768,0,1,3,5.2453,0,0,0
"DOMINICA",0,1985,2.1044,1.7583,1.6784,1,0,0,0,0,0,1,1.6784,0,0,0,0,0,0,2.1044,0,0
"DOMINICAN Rep",0,1986,3.1947,2.5309,1.7525,5,0,2.8,1,1.609438,2.82054,0,0,1,5.141671,0,1,2,3.1947,0,2.8,0
"EL Salvador",0,1985,2.683,2.0965,1.2465,4,0,3.163,.64,1.386294,1.728016,0,0,0,3.719428,0,0,1,0,0,2.02432,0
